ID,Breed,Breed Size,Sex,Age,Weight (lbs),Spay/Neuter Status,Daily Activity Level,Diet,Food Brand,Daily Walk Distance (miles),Other Pets in Household,Medications,Seizures,Hours of Sleep,Play Time (hrs),Owner Activity Level,Annual Vet Visits,Average Temperature (F),Synthetic,Healthy
883,German Shepherd,Large,Male,12.0,57.0,Spayed,Low,Special diet,Purina,4.0,Yes,No,No,9.0,2.0,Moderate,0.0,97.0,Yes,Yes
884,Beagle,Small,Female,1.0,14.0,,Low,Wet food,Nutro,4.0,Yes,No,No,11.0,0.0,Very Active,3.0,67.0,Yes,No
885,Chihuahua,Small,Male,5.0,41.0,Spayed,Very Active,Wet food,Nutro,4.0,Yes,No,No,13.0,2.0,Very Active,3.0,64.0,Yes,Yes
886,Siberian Husky,Medium,Male,2.0,33.0,None,Moderate,Home cooked,Special,2.0,Yes,Yes,No,10.0,,Low,4.0,67.0,Yes,Yes
887,Dachshund,Small,Male,5.0,32.0,Spayed,None,Wet food,Pedigree,3.0,Yes,Yes,No,11.0,0.0,Low,1.0,44.0,Yes,Yes
888,Boxer,Medium,Male,3.0,42.0,,Active,Wet food,Pedigree,,Yes,No,No,11.0,,Moderate,2.0,70.0,Yes,Yes
889,Labrador Retriever,Large,Female,6.0,59.0,Spayed,Low,Hard food,Nutro,2.0,No,Yes,No,8.0,4.0,Moderate,2.0,69.0,Yes,Yes
890,Chihuahua,Small,Female,5.0,49.0,Neutered,Active,Home cooked,Special,2.0,No,No,No,11.0,1.0,Very Active,,57.0,Yes,Yes
891,Rottweiler,Large,Male,,86.0,Neutered,Low,Wet food,Royal Canin,1.0,Yes,No,No,11.0,2.0,None,2.0,36.0,Yes,No
892,Siberian Husky,Medium,Male,4.0,58.0,Spayed,None,Wet food,Royal Canin,0.0,Yes,Yes,No,9.0,2.0,Active,2.0,35.0,Yes,Yes
893,Australian Shepherd,Medium,Female,2.0,56.0,Neutered,Moderate,Wet food,,,No,No,No,11.0,0.0,Active,1.0,59.0,Yes,Yes
894,Australian Shepherd,Medium,Male,7.0,62.0,,Moderate,Hard food,Iams,1.0,Yes,No,No,9.0,3.0,Very Active,0.0,70.0,Yes,No
895,Golden Retriever,Large,Male,9.0,46.0,Spayed,Active,Home cooked,Special,5.0,Yes,No,No,12.0,,Moderate,2.0,64.0,Yes,Yes
896,Rottweiler,Large,Female,3.0,97.0,None,Active,Special diet,Blue Buffalo,2.0,Yes,Yes,No,10.0,1.0,None,1.0,,Yes,Yes
897,Yorkshire Terrier,Small,Female,9.0,50.0,None,Low,Home cooked,Special,2.0,No,No,No,11.0,4.0,Active,0.0,70.0,Yes,No
898,Rottweiler,Large,Female,12.0,42.0,None,None,Home cooked,Special,0.0,No,No,No,9.0,2.0,None,,62.0,Yes,Yes
899,Dachshund,Small,Male,6.0,59.0,None,Active,Wet food,Wellness,4.0,No,Yes,No,11.0,2.0,Very Active,2.0,39.0,Yes,Yes
900,Poodle,Small,Female,11.0,26.0,Spayed,Moderate,Wet food,Royal Canin,4.0,No,Yes,No,11.0,3.0,Moderate,0.0,60.0,Yes,No
901,Golden Retriever,Large,Male,1.0,56.0,None,Low,Hard food,Royal Canin,1.0,Yes,No,No,11.0,1.0,Very Active,1.0,55.0,Yes,No
902,Great Dane,Large,Male,11.0,,None,None,Home cooked,Special,3.0,Yes,Yes,No,13.0,2.0,Active,0.0,54.0,Yes,No
903,Poodle,Small,Female,5.0,30.0,Spayed,Low,Wet food,Purina,3.0,No,Yes,No,11.0,3.0,Moderate,4.0,61.0,Yes,
904,Golden Retriever,Large,Female,2.0,54.0,,Low,Special diet,Nutro,2.0,Yes,No,No,12.0,0.0,Low,1.0,87.0,Yes,Yes
905,German Shepherd,,Female,12.0,44.0,Spayed,Moderate,Home cooked,Special,2.0,No,Yes,,10.0,1.0,None,2.0,63.0,Yes,Yes
906,Doberman,Large,Female,4.0,83.0,None,Active,Home cooked,Special,6.0,No,No,No,11.0,2.0,Very Active,1.0,30.0,Yes,Yes
907,Golden Retriever,Large,Female,1.0,42.0,None,Very Active,Home cooked,Special,4.0,Yes,Yes,No,10.0,1.0,Low,2.0,63.0,Yes,Yes
908,Poodle,Small,Female,13.0,49.0,None,Active,Home cooked,Special,1.0,No,No,No,11.0,2.0,None,1.0,85.0,Yes,Yes
909,Great Dane,Large,Female,6.0,48.0,None,Very Active,Wet food,Blue Buffalo,2.0,Yes,Yes,Yes,14.0,2.0,Active,2.0,67.0,Yes,No
910,Australian Shepherd,Medium,Female,4.0,70.0,Spayed,Low,Hard food,Purina,0.0,Yes,No,No,14.0,2.0,None,1.0,86.0,Yes,Yes
911,Poodle,Small,Male,4.0,51.0,Neutered,Very Active,Special diet,Wellness,4.0,No,Yes,No,11.0,0.0,,1.0,73.0,Yes,Yes
912,Poodle,Small,Male,13.0,52.0,None,Moderate,Wet food,Royal Canin,3.0,Yes,,No,14.0,1.0,Moderate,1.0,82.0,Yes,No
913,Golden Retriever,Large,Female,6.0,51.0,Neutered,Active,Home cooked,Special,1.0,Yes,Yes,No,10.0,2.0,Moderate,3.0,84.0,Yes,Yes
914,Yorkshire Terrier,,Female,2.0,73.0,Neutered,Very Active,Special diet,Pedigree,4.0,No,No,No,13.0,0.0,Low,2.0,58.0,Yes,
915,Siberian Husky,Medium,Male,8.0,40.0,Spayed,Active,,Nutro,4.0,Yes,Yes,No,11.0,1.0,Very Active,1.0,60.0,Yes,Yes
916,Siberian Husky,Medium,Male,11.0,66.0,None,None,Special diet,Blue Buffalo,3.0,Yes,Yes,No,11.0,2.0,Moderate,1.0,76.0,Yes,No
917,Australian Shepherd,Medium,Female,4.0,10.0,Neutered,Very Active,Special diet,Pedigree,5.0,No,Yes,No,11.0,2.0,Low,2.0,,Yes,Yes
918,Yorkshire Terrier,Small,Male,7.0,44.0,Spayed,Very Active,Wet food,Pedigree,3.0,No,No,No,14.0,2.0,Active,0.0,55.0,Yes,Yes
919,Chihuahua,Small,Female,7.0,60.0,None,Moderate,Hard food,Wellness,4.0,Yes,No,No,12.0,0.0,Very Active,3.0,66.0,Yes,
920,Labrador Retriever,Large,Male,11.0,,None,Very Active,Wet food,Pedigree,0.0,No,Yes,No,13.0,1.0,Low,,56.0,Yes,No
921,Boxer,Medium,Male,3.0,54.0,None,None,Hard food,Nutro,2.0,Yes,Yes,Yes,11.0,3.0,Active,4.0,47.0,Yes,No
922,Labrador Retriever,Large,Female,4.0,42.0,Spayed,Low,Hard food,Iams,2.0,Yes,Yes,No,10.0,,Active,2.0,73.0,Yes,Yes
923,Chihuahua,Small,Male,10.0,53.0,None,Moderate,Hard food,Wellness,4.0,No,,No,11.0,1.0,Moderate,0.0,65.0,Yes,No
924,German Shepherd,Large,Male,3.0,77.0,Spayed,Very Active,Hard food,Pedigree,1.0,Yes,Yes,No,10.0,1.0,Very Active,2.0,73.0,Yes,Yes
925,Bulldog,Medium,Male,9.0,59.0,Spayed,None,Home cooked,Special,1.0,No,Yes,No,12.0,1.0,None,,68.0,Yes,Yes
926,Bulldog,Medium,Male,5.0,27.0,None,Low,Home cooked,Special,3.0,Yes,No,No,14.0,4.0,Very Active,0.0,53.0,Yes,Yes
927,Australian Shepherd,Medium,Female,6.0,31.0,Neutered,Moderate,Home cooked,Special,2.0,Yes,No,No,9.0,0.0,Active,2.0,61.0,Yes,Yes
928,Rottweiler,Large,Female,8.0,39.0,None,Very Active,Wet food,Royal Canin,0.0,No,No,No,11.0,1.0,Low,1.0,52.0,Yes,Yes
929,Great Dane,Large,Female,13.0,58.0,Neutered,Active,Wet food,Pedigree,3.0,No,Yes,No,10.0,3.0,Active,3.0,70.0,Yes,Yes
930,Doberman,Large,Male,12.0,41.0,Spayed,Active,Wet food,Hill's Science,0.0,No,Yes,No,10.0,1.0,Very Active,1.0,55.0,Yes,Yes
931,Labrador Retriever,Large,Male,11.0,43.0,Neutered,Active,Wet food,Blue Buffalo,6.0,No,Yes,No,10.0,1.0,None,2.0,52.0,Yes,Yes
932,Boxer,Medium,Female,6.0,53.0,None,Very Active,Hard food,Nutro,3.0,Yes,No,No,13.0,1.0,Moderate,0.0,55.0,Yes,
933,German Shepherd,Large,Male,1.0,35.0,Neutered,Very Active,Special diet,Blue Buffalo,4.0,Yes,No,No,11.0,1.0,Low,3.0,47.0,Yes,Yes
934,Yorkshire Terrier,Small,Female,13.0,53.0,Neutered,Low,Special diet,Nutro,2.0,No,Yes,No,9.0,2.0,Moderate,,45.0,Yes,Yes
935,Chihuahua,Small,Male,12.0,32.0,Neutered,Very Active,Special diet,Pedigree,4.0,Yes,Yes,No,12.0,4.0,Moderate,0.0,76.0,Yes,Yes
936,Australian Shepherd,Medium,Female,7.0,69.0,None,,Wet food,Wellness,2.0,Yes,No,No,12.0,1.0,Moderate,,88.0,Yes,Yes
937,Doberman,Large,Male,,53.0,Neutered,Low,Home cooked,Special,6.0,No,No,No,12.0,1.0,Very Active,0.0,61.0,Yes,Yes
938,Boxer,Medium,Male,11.0,72.0,None,Moderate,Hard food,Wellness,1.0,No,Yes,No,12.0,2.0,Active,2.0,75.0,Yes,No
939,Australian Shepherd,Medium,Male,6.0,50.0,,Very Active,Wet food,Hill's Science,4.0,No,Yes,Yes,10.0,0.0,Active,4.0,56.0,Yes,Yes
940,Australian Shepherd,Medium,,6.0,60.0,None,Moderate,Hard food,Iams,4.0,No,No,No,8.0,1.0,Moderate,4.0,89.0,Yes,Yes
941,Australian Shepherd,Medium,Male,11.0,27.0,Neutered,,Special diet,Wellness,4.0,No,Yes,No,8.0,2.0,Moderate,3.0,45.0,Yes,Yes
942,Siberian Husky,Medium,Male,1.0,36.0,None,Moderate,Home cooked,Special,4.0,No,No,No,10.0,2.0,None,1.0,64.0,Yes,Yes
943,Beagle,Small,Male,4.0,64.0,Spayed,None,Home cooked,Special,0.0,No,No,Yes,9.0,2.0,,1.0,68.0,Yes,Yes
944,Chihuahua,Small,Female,12.0,60.0,None,Very Active,Hard food,Blue Buffalo,1.0,Yes,No,No,9.0,2.0,Very Active,1.0,41.0,Yes,Yes
945,Australian Shepherd,Medium,Female,10.0,22.0,Spayed,Moderate,Wet food,Iams,3.0,,No,No,8.0,1.0,Very Active,4.0,82.0,Yes,No
946,Doberman,Large,Male,2.0,52.0,Spayed,Moderate,Special diet,Nutro,2.0,Yes,No,No,11.0,1.0,Active,2.0,83.0,Yes,Yes
947,Great Dane,,Male,12.0,38.0,Spayed,,Hard food,Wellness,2.0,Yes,No,No,11.0,0.0,Very Active,2.0,57.0,Yes,Yes
948,Labrador Retriever,Large,Male,8.0,72.0,Neutered,Moderate,,Purina,3.0,Yes,No,No,10.0,0.0,None,2.0,62.0,Yes,Yes
949,Golden Retriever,Large,Male,8.0,42.0,Spayed,Low,Special diet,Blue Buffalo,2.0,Yes,Yes,No,12.0,3.0,Active,3.0,73.0,Yes,Yes
950,Golden Retriever,Large,Male,1.0,58.0,None,Low,Special diet,Iams,3.0,No,No,,11.0,1.0,Low,2.0,,Yes,Yes
951,Bulldog,Medium,Male,12.0,59.0,Spayed,Active,Home cooked,Special,2.0,No,Yes,No,9.0,2.0,Very Active,2.0,78.0,,Yes
952,Golden Retriever,Large,Male,1.0,56.0,Neutered,None,Hard food,Royal Canin,2.0,No,Yes,No,13.0,2.0,None,2.0,86.0,Yes,No
953,Rottweiler,Large,Female,4.0,75.0,None,Active,Hard food,Hill's Science,3.0,Yes,Yes,No,12.0,2.0,Very Active,1.0,55.0,Yes,Yes
954,German Shepherd,Large,Male,5.0,49.0,Neutered,Active,Wet food,Pedigree,4.0,No,No,No,10.0,1.0,Very Active,2.0,93.0,Yes,Yes
955,Siberian Husky,Medium,Male,12.0,55.0,Neutered,Very Active,Hard food,Iams,2.0,Yes,Yes,No,13.0,0.0,Low,2.0,70.0,Yes,Yes
956,Yorkshire Terrier,Small,Female,10.0,47.0,Spayed,None,Hard food,Nutro,3.0,No,Yes,No,12.0,1.0,Active,2.0,78.0,Yes,No
957,Doberman,Large,Male,3.0,61.0,Neutered,None,Wet food,Blue Buffalo,1.0,Yes,Yes,No,11.0,0.0,Low,2.0,55.0,Yes,Yes
958,Chihuahua,Small,Female,12.0,30.0,Spayed,None,Special diet,Pedigree,3.0,Yes,Yes,No,11.0,2.0,Low,0.0,95.0,Yes,No
959,Chihuahua,Small,Female,10.0,41.0,None,Very Active,Home cooked,Special,4.0,,No,No,9.0,2.0,Low,3.0,68.0,Yes,
960,Chihuahua,Small,Male,3.0,64.0,,Low,Hard food,Purina,1.0,No,Yes,No,10.0,3.0,Moderate,1.0,78.0,Yes,Yes
961,Poodle,Small,Female,9.0,32.0,Neutered,,Home cooked,Special,3.0,No,No,No,13.0,2.0,Low,0.0,60.0,Yes,Yes
962,German Shepherd,Large,Female,4.0,63.0,None,Very Active,Wet food,Blue Buffalo,0.0,No,No,No,9.0,3.0,Active,3.0,62.0,Yes,Yes
963,Dachshund,Small,Female,5.0,,Spayed,Low,Wet food,Purina,2.0,No,No,No,9.0,1.0,Very Active,0.0,86.0,Yes,Yes
964,German Shepherd,Large,Male,9.0,59.0,Spayed,Very Active,Special diet,Blue Buffalo,0.0,,Yes,No,14.0,2.0,None,2.0,59.0,Yes,Yes
965,Beagle,Small,Male,10.0,58.0,Spayed,None,Home cooked,Special,2.0,No,Yes,No,14.0,1.0,Low,2.0,55.0,Yes,Yes
966,Yorkshire Terrier,Small,Male,9.0,29.0,Spayed,Very Active,Home cooked,Special,2.0,No,No,No,11.0,1.0,None,1.0,76.0,Yes,Yes
967,Great Dane,Large,Male,8.0,52.0,Spayed,Moderate,Wet food,Pedigree,3.0,Yes,No,No,8.0,,None,1.0,66.0,Yes,Yes
968,Boxer,Medium,Male,8.0,32.0,None,Active,Special diet,Purina,3.0,Yes,No,No,12.0,2.0,Low,4.0,62.0,Yes,Yes
969,Chihuahua,Small,Female,3.0,59.0,,None,Wet food,Pedigree,0.0,Yes,No,No,12.0,,Moderate,0.0,54.0,Yes,Yes
970,Beagle,Small,Female,6.0,40.0,Neutered,Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,10.0,2.0,None,1.0,56.0,Yes,Yes
971,Beagle,Small,Female,11.0,85.0,None,Moderate,Home cooked,Special,0.0,No,Yes,No,10.0,2.0,Low,2.0,58.0,Yes,No
972,Golden Retriever,Large,Female,2.0,55.0,None,Moderate,Special diet,Wellness,1.0,No,No,No,12.0,1.0,Very Active,0.0,39.0,Yes,Yes
973,,Large,Female,10.0,69.0,Neutered,Moderate,Home cooked,Special,2.0,Yes,No,No,8.0,0.0,Low,3.0,87.0,Yes,Yes
974,Doberman,Large,Male,8.0,,None,Moderate,Special diet,Iams,4.0,Yes,Yes,No,11.0,1.0,None,0.0,94.0,Yes,No
975,Great Dane,Large,Male,10.0,78.0,Neutered,Low,Special diet,Iams,3.0,Yes,No,No,11.0,0.0,Moderate,4.0,73.0,Yes,Yes
976,Rottweiler,Large,Male,1.0,30.0,Neutered,Low,Special diet,Royal Canin,2.0,No,Yes,No,11.0,3.0,Moderate,3.0,55.0,Yes,Yes
977,Beagle,Small,Male,10.0,29.0,Spayed,Active,Hard food,Wellness,2.0,No,No,No,10.0,2.0,,2.0,57.0,Yes,Yes
978,Bulldog,Medium,Male,2.0,50.0,Neutered,Low,Hard food,Purina,4.0,Yes,Yes,No,11.0,3.0,Moderate,2.0,71.0,Yes,Yes
979,Chihuahua,Small,Male,11.0,39.0,None,Very Active,Hard food,Royal Canin,1.0,No,Yes,No,10.0,2.0,None,1.0,45.0,Yes,No
980,German Shepherd,Large,Female,9.0,50.0,Neutered,Very Active,Wet food,Hill's Science,,No,No,No,9.0,3.0,Active,2.0,87.0,Yes,Yes
981,Bulldog,Medium,Male,2.0,67.0,Neutered,,Hard food,Royal Canin,4.0,No,Yes,No,12.0,0.0,Active,4.0,57.0,Yes,Yes
982,,Medium,Male,12.0,47.0,None,Low,Hard food,Wellness,1.0,Yes,Yes,No,11.0,2.0,,0.0,58.0,Yes,No
983,Bulldog,Medium,Female,11.0,53.0,None,Low,Special diet,Wellness,4.0,No,No,No,13.0,1.0,Low,,68.0,Yes,Yes
984,Poodle,Small,Male,11.0,57.0,Neutered,Very Active,Hard food,Iams,2.0,Yes,Yes,No,11.0,4.0,Low,1.0,56.0,Yes,Yes
985,Beagle,Small,,13.0,62.0,Neutered,Moderate,Hard food,Pedigree,2.0,No,Yes,No,8.0,2.0,Low,1.0,60.0,Yes,No
986,Bulldog,Medium,Female,2.0,67.0,Neutered,Moderate,Home cooked,Special,4.0,,Yes,No,11.0,0.0,Low,1.0,56.0,Yes,Yes
987,Chihuahua,Small,Male,10.0,59.0,,None,Special diet,Wellness,1.0,No,No,No,13.0,0.0,Very Active,0.0,66.0,Yes,Yes
988,Beagle,Small,Male,13.0,65.0,Spayed,None,Home cooked,Special,2.0,Yes,Yes,No,12.0,0.0,Moderate,2.0,42.0,Yes,Yes
989,,Large,Male,8.0,37.0,None,Very Active,Home cooked,Special,3.0,Yes,Yes,No,8.0,2.0,Moderate,2.0,30.0,Yes,Yes
990,Chihuahua,Small,Male,9.0,49.0,Neutered,None,Wet food,Purina,4.0,Yes,Yes,No,12.0,0.0,Moderate,1.0,55.0,Yes,No
991,,Small,Female,4.0,66.0,Spayed,,Hard food,Pedigree,4.0,No,No,No,13.0,1.0,Low,2.0,100.0,Yes,Yes
992,Boxer,,Female,5.0,65.0,Neutered,Moderate,Hard food,Blue Buffalo,3.0,No,No,No,10.0,2.0,Active,0.0,50.0,Yes,Yes
993,Rottweiler,Large,Female,12.0,47.0,Spayed,Active,Special diet,Wellness,3.0,No,No,No,13.0,1.0,Very Active,1.0,78.0,Yes,Yes
994,Great Dane,Large,Female,5.0,58.0,None,Low,Home cooked,Special,1.0,No,Yes,,11.0,3.0,,0.0,69.0,Yes,No
995,Australian Shepherd,Medium,Female,2.0,56.0,Spayed,Very Active,Wet food,Royal Canin,0.0,No,No,Yes,12.0,1.0,Very Active,2.0,90.0,Yes,Yes
996,Great Dane,Large,Male,8.0,39.0,Spayed,None,Hard food,Blue Buffalo,2.0,No,Yes,No,10.0,1.0,Low,0.0,35.0,Yes,No
997,Labrador Retriever,,Female,7.0,49.0,Neutered,None,Wet food,Hill's Science,3.0,Yes,Yes,No,11.0,2.0,None,0.0,34.0,Yes,No
998,Golden Retriever,Large,Male,5.0,43.0,Neutered,Active,Hard food,Wellness,5.0,No,Yes,No,11.0,2.0,Active,2.0,58.0,Yes,Yes
999,Bulldog,Medium,Female,12.0,39.0,Spayed,Low,Special diet,Blue Buffalo,0.0,Yes,No,No,8.0,0.0,Very Active,1.0,88.0,Yes,Yes
1000,Beagle,Small,Female,4.0,37.0,Spayed,Moderate,Home cooked,Special,4.0,No,Yes,No,10.0,1.0,Moderate,0.0,66.0,Yes,Yes
1001,Dachshund,Small,Female,9.0,50.0,Spayed,Active,Special diet,Purina,3.0,Yes,No,No,10.0,1.0,Active,1.0,76.0,Yes,Yes
1002,Siberian Husky,Medium,Female,12.0,42.0,,Very Active,Hard food,Purina,4.0,Yes,Yes,No,,2.0,Low,0.0,100.0,Yes,No
1003,German Shepherd,Large,Male,10.0,30.0,Spayed,Very Active,Special diet,Wellness,3.0,Yes,Yes,No,9.0,0.0,Active,0.0,58.0,Yes,Yes
1004,German Shepherd,Large,Male,3.0,84.0,None,Low,Wet food,Hill's Science,4.0,Yes,Yes,No,8.0,1.0,None,2.0,88.0,Yes,No
1005,Yorkshire Terrier,Small,Male,6.0,57.0,None,,Hard food,Purina,3.0,No,No,No,12.0,2.0,Moderate,1.0,34.0,Yes,Yes
1006,Dachshund,Small,Male,9.0,54.0,Spayed,Moderate,,Royal Canin,1.0,Yes,Yes,No,10.0,1.0,Active,0.0,57.0,Yes,No
1007,Yorkshire Terrier,,Female,9.0,56.0,None,Low,Home cooked,Special,1.0,No,No,No,11.0,1.0,Active,2.0,66.0,Yes,Yes
1008,Chihuahua,Small,Male,9.0,63.0,Neutered,Very Active,Hard food,Wellness,4.0,Yes,Yes,No,12.0,1.0,Low,2.0,69.0,Yes,Yes
1009,Siberian Husky,Medium,Female,4.0,60.0,Spayed,None,Special diet,Nutro,3.0,No,No,No,11.0,2.0,None,1.0,73.0,Yes,Yes
1010,Chihuahua,Small,Male,7.0,66.0,Neutered,Moderate,Wet food,Royal Canin,1.0,Yes,No,No,10.0,3.0,Very Active,0.0,100.0,Yes,Yes
1011,Siberian Husky,Medium,Female,6.0,55.0,Spayed,Low,Hard food,Nutro,2.0,Yes,No,No,11.0,3.0,Low,1.0,60.0,Yes,Yes
1012,Beagle,Small,,4.0,40.0,Spayed,Active,Special diet,Hill's Science,0.0,No,No,No,12.0,1.0,None,1.0,54.0,Yes,Yes
1013,Yorkshire Terrier,Small,Male,5.0,50.0,None,Moderate,Hard food,Wellness,5.0,No,No,No,8.0,0.0,Very Active,2.0,87.0,Yes,Yes
1014,Bulldog,Medium,Female,11.0,,Neutered,None,Hard food,Nutro,0.0,Yes,No,No,11.0,2.0,None,2.0,81.0,Yes,Yes
1015,Boxer,Medium,Female,12.0,59.0,Neutered,Moderate,Special diet,Nutro,5.0,No,No,No,12.0,2.0,,1.0,58.0,Yes,Yes
1016,Siberian Husky,Medium,Male,3.0,40.0,None,Moderate,Wet food,Wellness,5.0,No,Yes,No,13.0,2.0,Moderate,2.0,,Yes,No
1017,,Medium,Female,9.0,31.0,Spayed,Moderate,Special diet,Nutro,0.0,Yes,No,No,12.0,0.0,None,2.0,96.0,Yes,Yes
1018,Bulldog,Medium,Male,2.0,52.0,Neutered,Low,Special diet,Iams,2.0,Yes,Yes,No,10.0,1.0,None,2.0,53.0,Yes,Yes
1019,Australian Shepherd,Medium,Female,11.0,,Spayed,Active,Wet food,Nutro,2.0,No,Yes,No,11.0,0.0,Very Active,3.0,41.0,Yes,Yes
1020,Yorkshire Terrier,Small,Male,10.0,58.0,None,Very Active,Special diet,Pedigree,2.0,Yes,No,No,8.0,2.0,,3.0,55.0,Yes,Yes
1021,Golden Retriever,Large,Female,4.0,42.0,Neutered,Moderate,Hard food,Blue Buffalo,2.0,No,Yes,No,12.0,0.0,Moderate,2.0,67.0,Yes,Yes
1022,Golden Retriever,Large,Male,6.0,60.0,None,None,Special diet,Hill's Science,2.0,No,Yes,No,10.0,1.0,None,3.0,70.0,Yes,Yes
1023,German Shepherd,Large,Female,9.0,17.0,None,Active,Home cooked,Special,3.0,Yes,Yes,No,12.0,0.0,Moderate,1.0,85.0,Yes,No
1024,Labrador Retriever,Large,,4.0,27.0,Spayed,Active,,Special,5.0,Yes,Yes,No,10.0,2.0,Moderate,1.0,67.0,Yes,Yes
1025,Labrador Retriever,Large,Male,9.0,50.0,None,Active,Special diet,Blue Buffalo,1.0,Yes,Yes,No,11.0,0.0,None,2.0,64.0,Yes,
1026,Rottweiler,Large,Female,10.0,51.0,Spayed,Very Active,Home cooked,Special,1.0,No,Yes,No,8.0,1.0,Active,,49.0,Yes,Yes
1027,Boxer,Medium,Female,6.0,27.0,None,Low,Hard food,Iams,2.0,No,Yes,No,,2.0,Low,2.0,67.0,Yes,No
1028,Doberman,Large,Male,2.0,63.0,None,Moderate,Hard food,Wellness,0.0,Yes,Yes,No,9.0,2.0,Very Active,1.0,60.0,Yes,No
1029,Yorkshire Terrier,Small,Female,9.0,69.0,None,Very Active,Wet food,Hill's Science,0.0,No,No,No,11.0,3.0,Low,2.0,80.0,Yes,Yes
1030,Dachshund,Small,Male,6.0,45.0,None,Low,Special diet,Nutro,2.0,No,No,No,12.0,2.0,Very Active,3.0,75.0,Yes,
1031,Great Dane,,Male,7.0,56.0,None,Moderate,Home cooked,Special,5.0,No,No,No,11.0,0.0,None,1.0,76.0,Yes,Yes
1032,Boxer,Medium,Female,13.0,52.0,None,Moderate,Wet food,Iams,1.0,No,No,No,10.0,2.0,Very Active,0.0,72.0,Yes,No
1033,Boxer,Medium,Female,13.0,49.0,None,Very Active,Hard food,Nutro,2.0,No,No,Yes,12.0,1.0,Very Active,3.0,47.0,Yes,No
1034,Rottweiler,Large,Male,1.0,46.0,None,Very Active,Hard food,Royal Canin,5.0,No,No,No,12.0,,None,1.0,81.0,Yes,Yes
1035,Labrador Retriever,Large,Male,10.0,52.0,,Moderate,Wet food,Royal Canin,3.0,No,No,Yes,13.0,1.0,Very Active,2.0,47.0,Yes,No
1036,Great Dane,Large,Male,9.0,29.0,None,Very Active,Hard food,Blue Buffalo,3.0,Yes,Yes,No,13.0,3.0,Moderate,1.0,49.0,Yes,No
1037,Poodle,Small,Male,8.0,76.0,Neutered,Moderate,Hard food,Nutro,5.0,Yes,No,No,12.0,0.0,Low,1.0,67.0,Yes,Yes
1038,Golden Retriever,Large,Male,1.0,37.0,Neutered,None,Special diet,Blue Buffalo,3.0,Yes,No,No,11.0,1.0,Low,1.0,55.0,Yes,Yes
1039,Dachshund,Small,Female,3.0,66.0,Neutered,None,Wet food,,2.0,No,Yes,No,11.0,1.0,Very Active,0.0,50.0,Yes,No
1040,Bulldog,Medium,Male,9.0,59.0,Spayed,,Special diet,Royal Canin,1.0,Yes,No,No,9.0,1.0,Low,0.0,34.0,Yes,Yes
1041,Doberman,Large,Female,5.0,20.0,Neutered,Active,Wet food,Pedigree,5.0,No,No,No,12.0,3.0,None,,64.0,Yes,Yes
1042,Yorkshire Terrier,Small,Female,12.0,54.0,Neutered,None,Wet food,Blue Buffalo,2.0,Yes,Yes,No,12.0,2.0,None,2.0,77.0,Yes,No
1043,Doberman,Large,Female,6.0,48.0,Neutered,Very Active,Special diet,Pedigree,0.0,Yes,Yes,No,14.0,0.0,None,3.0,45.0,Yes,Yes
1044,,Large,Male,6.0,40.0,,Moderate,Home cooked,Special,4.0,No,No,No,10.0,2.0,Moderate,1.0,66.0,Yes,Yes
1045,Labrador Retriever,Large,Female,12.0,40.0,None,Moderate,Hard food,Wellness,,Yes,No,No,8.0,2.0,None,0.0,79.0,Yes,No
1046,Doberman,Large,Female,3.0,46.0,None,None,Home cooked,Special,5.0,No,Yes,No,9.0,1.0,Moderate,3.0,60.0,Yes,Yes
1047,Labrador Retriever,Large,Male,5.0,54.0,Neutered,None,Wet food,Pedigree,2.0,Yes,No,Yes,11.0,2.0,None,0.0,72.0,Yes,No
1048,Siberian Husky,Medium,Female,1.0,61.0,None,Low,Wet food,Purina,6.0,No,No,No,9.0,1.0,None,1.0,61.0,Yes,No
1049,Golden Retriever,Large,Male,1.0,65.0,Spayed,None,Special diet,Hill's Science,3.0,Yes,Yes,No,10.0,2.0,Low,2.0,67.0,Yes,Yes
1050,Siberian Husky,Medium,Female,6.0,51.0,None,None,Hard food,Iams,2.0,Yes,Yes,No,9.0,1.0,None,1.0,82.0,Yes,No
1051,Boxer,Medium,Male,13.0,41.0,Spayed,Moderate,Wet food,Hill's Science,4.0,Yes,No,Yes,12.0,2.0,Active,3.0,47.0,Yes,No
1052,German Shepherd,Large,Male,12.0,48.0,None,None,Home cooked,Special,3.0,No,Yes,No,11.0,4.0,Low,0.0,84.0,Yes,No
1053,German Shepherd,Large,Male,3.0,50.0,Neutered,Moderate,Special diet,Wellness,0.0,Yes,Yes,No,,0.0,Moderate,0.0,65.0,Yes,Yes
1054,Siberian Husky,Medium,Male,1.0,31.0,Neutered,None,Special diet,Nutro,0.0,No,No,No,10.0,3.0,Moderate,1.0,62.0,Yes,Yes
1055,Beagle,Small,Female,8.0,61.0,Neutered,Moderate,Home cooked,Special,3.0,Yes,No,No,10.0,1.0,Active,0.0,47.0,,Yes
1056,Chihuahua,Small,Female,4.0,58.0,Spayed,Very Active,Hard food,Nutro,1.0,Yes,Yes,Yes,11.0,2.0,Active,0.0,56.0,Yes,No
